missing_rate,mse,acc,epoch,model,multi_view,run_idx
0.1,0.22451641406242348,0.8371428571428572,30,CPMNets_ori,True,0
0.1,0.2246474803058743,0.8701657458563536,30,CPMNets_ori,False,0
0.1,0.22253429045875395,0.8487394957983193,30,CPMNets,True,0
0.1,0.22134887934353886,0.8286516853932584,30,CPMNets,False,0
0.2,0.2274536439197989,0.8465408805031447,30,CPMNets_ori,True,0
0.2,0.2274638960565927,0.8603133159268929,30,CPMNets_ori,False,0
0.3,0.2311265967613964,0.8580357142857142,30,CPMNets_ori,True,0
0.3,0.23067886890534514,0.8538657604078165,30,CPMNets_ori,False,0
0.2,0.22443578564907607,0.8396739130434783,30,CPMNets,True,0
0.2,0.22308419273216706,0.8643147896879241,30,CPMNets,False,0
0.4,0.23582447145089844,0.8396421197522368,30,CPMNets_ori,True,0
0.4,0.2358753594895989,0.8305537024683122,30,CPMNets_ori,False,0
0.5,0.2426916006086921,0.8333333333333334,30,CPMNets_ori,True,0
0.5,0.2425575537027917,0.8489968321013728,30,CPMNets_ori,False,0
0.3,0.2265894400492957,0.8482758620689655,30,CPMNets,True,0
0.3,0.22548814782420715,0.8447653429602888,30,CPMNets,False,0
0.0,,,30,CPMNets_ori,True,0
0.0,,,30,CPMNets_ori,False,0
0.1,0.22468586212414648,0.8349282296650717,30,CPMNets_ori,True,1
0.1,0.2246654289085332,0.8337874659400545,30,CPMNets_ori,False,1
0.4,0.2290376847675705,0.8547182620502376,30,CPMNets,True,0
0.4,0.2287565071263305,0.8440054495912807,30,CPMNets,False,0
0.2,0.2273647997747643,0.8686605981794538,30,CPMNets_ori,True,1
0.2,0.2274461042376409,0.8627450980392157,30,CPMNets_ori,False,1
0.3,0.23098554975561675,0.8387681159420289,30,CPMNets_ori,True,1
0.3,0.23086098025968044,0.8331870061457419,30,CPMNets_ori,False,1
0.5,0.23417397619422145,0.8326912493120529,30,CPMNets,True,0
0.5,0.2339699621624448,0.8512352309344791,30,CPMNets,False,0
0.4,0.2354543565330319,0.8378932968536251,30,CPMNets_ori,True,1
0.4,0.23552852818198616,0.8479415670650731,30,CPMNets_ori,False,1
0.5,0.2424162296088776,0.8423618634886241,30,CPMNets_ori,True,1
0.5,0.2424072413301073,0.8347502656748141,30,CPMNets_ori,False,1
0.0,,,30,CPMNets,True,0
0.0,,,30,CPMNets,False,0
0.0,,,30,CPMNets_ori,True,1
0.0,,,30,CPMNets_ori,False,1
0.1,0.22467838198509588,0.85,30,CPMNets_ori,True,2
0.1,0.22466382919019204,0.8403990024937655,30,CPMNets_ori,False,2
0.1,0.22279474062222696,0.8563968668407309,30,CPMNets,True,1
0.1,0.22160357783979284,0.8493975903614458,30,CPMNets,False,1
0.2,0.2272272393305645,0.8603133159268929,30,CPMNets_ori,True,2
0.2,0.227466591750738,0.8418230563002681,30,CPMNets_ori,False,2
0.3,0.2308145363114011,0.8410480349344979,30,CPMNets_ori,True,2
0.2,0.22475796421194166,0.839262187088274,30,CPMNets,True,1
0.3,0.2309022029857887,0.8556521739130435,30,CPMNets_ori,False,2
0.2,0.2230590281657189,0.8602150537634409,30,CPMNets,False,1
0.4,0.2354319828433093,0.8381944444444445,30,CPMNets_ori,True,2
0.4,0.2355429624524349,0.8324468085106383,30,CPMNets_ori,False,2
0.5,0.2424102103231975,0.8435632808256383,30,CPMNets_ori,True,2
0.3,0.2265367712308957,0.8618538324420677,30,CPMNets,True,1
0.5,0.2424636089359842,0.8404196576477084,30,CPMNets_ori,False,2
0.3,0.22549446905001425,0.8410819949281487,30,CPMNets,False,1
0.0,,,30,CPMNets_ori,True,2
0.0,,,30,CPMNets_ori,False,2
0.1,0.2248369598258829,0.8463611859838275,30,CPMNets_ori,True,3
0.4,0.2295122109716662,0.8190140845070423,30,CPMNets,True,1
0.1,0.22461885854201588,0.8813559322033898,30,CPMNets_ori,False,3
0.4,0.2286164124914328,0.8400823610157858,30,CPMNets,False,1
0.2,0.22728118079907444,0.8367052023121387,30,CPMNets_ori,True,3
0.2,0.2274117063395885,0.8502747252747253,30,CPMNets_ori,False,3
0.3,0.230806709740633,0.8331846565566459,30,CPMNets_ori,True,3
0.5,0.2343203965757043,0.8345945945945946,30,CPMNets,True,1
0.3,0.2310844703920075,0.8414746543778802,30,CPMNets_ori,False,3
0.5,0.2341164367589429,0.8472222222222222,30,CPMNets,False,1
0.4,0.2354233590873419,0.8454172366621067,30,CPMNets_ori,True,3
0.4,0.2357320019867129,0.8486886348352387,30,CPMNets_ori,False,3
0.5,0.2421864091632253,0.8288288288288288,30,CPMNets_ori,True,3
0.0,,,30,CPMNets,True,1
0.5,0.2422834023281764,0.8353626257278983,30,CPMNets_ori,False,3
0.0,,,30,CPMNets,False,1
0.0,,,30,CPMNets_ori,True,3
0.0,,,30,CPMNets_ori,False,3
0.1,0.2247136657502664,0.875609756097561,30,CPMNets_ori,True,4
0.1,0.2222641949623883,0.8536585365853658,30,CPMNets,True,2
0.1,0.2251769313220624,0.8337730870712401,30,CPMNets_ori,False,4
0.1,0.2215561323510976,0.8498659517426274,30,CPMNets,False,2
0.2,0.22715348293538706,0.8604026845637583,30,CPMNets_ori,True,4
0.2,0.2273547023659115,0.8492063492063492,30,CPMNets_ori,False,4
0.3,0.2307754463791757,0.8484288354898336,30,CPMNets_ori,True,4
0.2,0.2240304050506651,0.8615591397849462,30,CPMNets,True,2
0.2,0.2230238428513196,0.8397350993377484,30,CPMNets,False,2
0.3,0.2309836563529901,0.8539325842696629,30,CPMNets_ori,False,4
0.4,0.2356547347752743,0.8543814432989691,30,CPMNets_ori,True,4
0.4,0.2358436059690651,0.8390728476821192,30,CPMNets_ori,False,4
0.5,0.24231330849240604,0.8320693391115926,30,CPMNets_ori,True,4
0.3,0.2261530311457593,0.8443478260869566,30,CPMNets,True,2
0.3,0.2253846992303303,0.8564146134239592,30,CPMNets,False,2
0.5,0.2427000839661884,0.8461959496442255,30,CPMNets_ori,False,4
0.0,,,30,CPMNets_ori,True,4
0.0,,,30,CPMNets_ori,False,4
0.4,0.22959574735214835,0.8218997361477572,30,CPMNets,True,2
0.4,0.2291778182807493,0.8521269412559082,30,CPMNets,False,2
0.5,0.23427904582036266,0.8426724137931034,30,CPMNets,True,2
0.5,0.2341738403324973,0.8403630539241858,30,CPMNets,False,2
0.0,,,30,CPMNets,True,2
0.0,,,30,CPMNets,False,2
0.1,0.22297752322607511,0.8527131782945736,30,CPMNets,True,3
0.1,0.221774619828098,0.859375,30,CPMNets,False,3
0.1,0.22301992405287813,0.8366197183098592,30,CPMNets,True,0
0.2,0.2233383779603441,0.8340192043895748,30,CPMNets,False,3
0.5,0.37817188376736577,0.3040650406504065,30,CPMNets_num_ori,True,1
0.2,0.22456179473404053,0.8432432432432433,30,CPMNets,True,0
0.1,0.22472303065656005,0.8235294117647058,30,CPMNets_num_ori,True,0
0.3,0.2254048836707912,0.8571428571428571,30,CPMNets,False,3
0.1,0.2244831559801148,0.8290155440414507,30,CPMNets_num_ori,True,0
0.3,0.2262564815133508,0.8482220294882914,30,CPMNets,True,0
0.4,0.2286410651948769,0.8554216867469879,30,CPMNets,False,3
0.2,0.22754008809674514,0.8171052631578948,30,CPMNets_num_ori,True,0
0.3,0.2306853536025094,0.8228882833787466,30,CPMNets_num_ori,True,0
0.4,0.22934968893739505,0.8434782608695652,30,CPMNets,True,0
0.5,0.23375195289160264,0.8372219207813347,30,CPMNets,False,3
0.4,0.2355600370926836,0.7901907356948229,30,CPMNets_num_ori,True,0
0.5,0.24243044205328404,0.7918478260869565,30,CPMNets_num_ori,True,0
0.5,0.2345822181222503,0.8381962864721485,30,CPMNets,True,0
0.1,0.2224422877729837,0.7605633802816901,30,CPMNets_num,True,0
0.0,,,30,CPMNets,False,3
0.0,,,30,CPMNets_num_ori,True,0
0.1,0.22473765030272053,0.8235294117647058,30,CPMNets_num_ori,True,1
0.0,,,30,CPMNets,True,0
0.2,0.22427542718151894,0.8243626062322946,30,CPMNets_num,True,0
0.1,0.22144441692526806,0.8246575342465754,30,CPMNets,False,4
0.2,0.2274182667891779,0.8144044321329641,30,CPMNets_num_ori,True,1
0.1,0.222938969871413,0.8600508905852418,30,CPMNets,True,1
0.3,0.2307672916435216,0.8034734917733091,30,CPMNets_num_ori,True,1
0.3,0.22648123575692106,0.8105451295799821,30,CPMNets_num,True,0
0.2,0.22305922861535527,0.8515111695137977,30,CPMNets,False,4
0.4,0.23624493223278195,0.7940771349862259,30,CPMNets_num_ori,True,1
0.2,0.2244346609626696,0.8265582655826558,30,CPMNets,True,1
0.4,0.2295020174409875,0.7987927565392354,30,CPMNets_num,True,0
0.5,0.2427280597509864,0.7922422954303932,30,CPMNets_num_ori,True,1
0.3,0.22547408249817397,0.8481906443071492,30,CPMNets,False,4
0.0,,,30,CPMNets_num_ori,True,1
